ID	Sample	Cohort	Subtype	ConfidenceLevel	Study
80	TCGA-EB-A44N-01A-11D-A25O-08	Skin	CutaneousMelanoma	TCGA	Firebrowse
81	TCGA-EB-A5SH-06A-11D-A30X-08	Skin	CutaneousMelanoma	TCGA	Firebrowse
82	TCGA-DA-A1HW-06A-11D-A19A-08	Skin	CutaneousMelanoma	TCGA	Firebrowse
83	TCGA-EE-A2MR-06A-11D-A196-08	Skin	CutaneousMelanoma	TCGA	Firebrowse
84	TCGA-EB-A5SG-06A-11D-A30X-08	Skin	CutaneousMelanoma	TCGA	Firebrowse
85	TCGA-ER-A194-01A-11D-A197-08	Skin	CutaneousMelanoma	TCGA	Firebrowse
86	TCGA-EE-A2MG-06A-11D-A197-08	Skin	CutaneousMelanoma	TCGA	Firebrowse
87	TCGA-EB-A24C-01A-11D-A197-08	Skin	CutaneousMelanoma	TCGA	Firebrowse
88	TCGA-ER-A19D-06A-11D-A197-08	Skin	CutaneousMelanoma	TCGA	Firebrowse
89	TCGA-BF-A5EO-01A-12D-A27K-08	Skin	CutaneousMelanoma	TCGA	Firebrowse
90	TCGA-D3-A1Q4-06A-11D-A196-08	Skin	CutaneousMelanoma	TCGA	Firebrowse
91	TCGA-DA-A1IA-06A-11D-A196-08	Skin	CutaneousMelanoma	TCGA	Firebrowse
92	TCGA-EE-A2A6-06A-11D-A197-08	Skin	CutaneousMelanoma	TCGA	Firebrowse
93	TCGA-EE-A2M5-06A-12D-A197-08	Skin	CutaneousMelanoma	TCGA	Firebrowse
94	TCGA-DA-A1I2-06A-21D-A19A-08	Skin	CutaneousMelanoma	TCGA	Firebrowse
95	TCGA-EB-A430-01A-11D-A24R-08	Skin	CutaneousMelanoma	TCGA	Firebrowse
96	TCGA-FS-A4F0-06A-11D-A24R-08	Skin	CutaneousMelanoma	TCGA	Firebrowse
97	TCGA-D3-A3ML-06A-11D-A21A-08	Skin	CutaneousMelanoma	TCGA	Firebrowse
98	TCGA-ER-A19S-06A-11D-A196-08	Skin	CutaneousMelanoma	TCGA	Firebrowse
99	TCGA-EE-A185-06A-11D-A196-08	Skin	CutaneousMelanoma	TCGA	Firebrowse
100	TCGA-EE-A2M6-06A-12D-A197-08	Skin	CutaneousMelanoma	TCGA	Firebrowse
101	TCGA-EB-A3XE-01A-12D-A23B-08	Skin	CutaneousMelanoma	TCGA	Firebrowse
102	TCGA-EE-A2MU-06A-21D-A196-08	Skin	CutaneousMelanoma	TCGA	Firebrowse
103	TCGA-EE-A17Y-06A-11D-A196-08	Skin	CutaneousMelanoma	TCGA	Firebrowse
104	TCGA-GN-A265-06A-21D-A197-08	Skin	CutaneousMelanoma	TCGA	Firebrowse
105	TCGA-D3-A51R-06A-11D-A25O-08	Skin	CutaneousMelanoma	TCGA	Firebrowse
106	TCGA-EE-A3JH-06A-11D-A21A-08	Skin	CutaneousMelanoma	TCGA	Firebrowse
107	TCGA-FS-A4F4-06A-12D-A25O-08	Skin	CutaneousMelanoma	TCGA	Firebrowse
108	TCGA-FS-A1ZF-06A-12D-A197-08	Skin	CutaneousMelanoma	TCGA	Firebrowse
109	TCGA-EB-A3XD-01A-22D-A23B-08	Skin	CutaneousMelanoma	TCGA	Firebrowse
110	TCGA-D3-A2JG-06A-11D-A196-08	Skin	CutaneousMelanoma	TCGA	Firebrowse
111	TCGA-EE-A181-06A-11D-A196-08	Skin	CutaneousMelanoma	TCGA	Firebrowse
112	TCGA-FR-A44A-06A-11D-A24R-08	Skin	CutaneousMelanoma	TCGA	Firebrowse
113	TCGA-EB-A4P0-01A-41D-A25O-08	Skin	CutaneousMelanoma	TCGA	Firebrowse
114	TCGA-FS-A1Z0-06A-11D-A197-08	Skin	CutaneousMelanoma	TCGA	Firebrowse
115	TCGA-EE-A2A0-06A-11D-A196-08	Skin	CutaneousMelanoma	TCGA	Firebrowse
116	TCGA-EE-A20C-06A-11D-A196-08	Skin	CutaneousMelanoma	TCGA	Firebrowse
117	TCGA-BF-A3DJ-01A-11D-A20D-08	Skin	CutaneousMelanoma	TCGA	Firebrowse
118	TCGA-D3-A1Q1-06A-21D-A196-08	Skin	CutaneousMelanoma	TCGA	Firebrowse
119	TCGA-HR-A2OG-01A-21D-A197-08	Skin	CutaneousMelanoma	TCGA	Firebrowse
120	TCGA-EE-A2A1-06A-11D-A197-08	Skin	CutaneousMelanoma	TCGA	Firebrowse
121	TCGA-ER-A19P-06A-11D-A196-08	Skin	CutaneousMelanoma	TCGA	Firebrowse
122	TCGA-EB-A41A-01A-11D-A24R-08	Skin	CutaneousMelanoma	TCGA	Firebrowse
123	TCGA-EB-A551-01A-21D-A27K-08	Skin	CutaneousMelanoma	TCGA	Firebrowse
124	TCGA-ER-A19C-06A-11D-A196-08	Skin	CutaneousMelanoma	TCGA	Firebrowse
125	TCGA-FS-A1ZG-06A-11D-A197-08	Skin	CutaneousMelanoma	TCGA	Firebrowse
126	TCGA-D3-A5GO-06A-12D-A27K-08	Skin	CutaneousMelanoma	TCGA	Firebrowse
127	TCGA-ER-A19E-06A-11D-A197-08	Skin	CutaneousMelanoma	TCGA	Firebrowse
128	TCGA-EB-A5UM-01A-11D-A30X-08	Skin	CutaneousMelanoma	TCGA	Firebrowse
129	TCGA-GN-A264-06A-11D-A196-08	Skin	CutaneousMelanoma	TCGA	Firebrowse
130	TCGA-D3-A3CE-06A-11D-A19A-08	Skin	CutaneousMelanoma	TCGA	Firebrowse
