ID	Sample	Cohort	Subtype	ConfidenceLevel	Study
575	MEL-IPI_Pat55-Tumor-SM-4DK2G	Skin	CutaneousMelanoma	nonTCGA	Study61
576	MEL-IPI_Pat56-Tumor-SM-4DK2H	Skin	CutaneousMelanoma	nonTCGA	Study61
577	MEL-IPI_Pat57-Tumor-SM-4DK2I	Skin	CutaneousMelanoma	nonTCGA	Study61
578	MEL-IPI_Pat58-Tumor-SM-4DK2J	Skin	CutaneousMelanoma	nonTCGA	Study61
579	MEL-IPI_Pat59-Tumor-SM-4DK2K	Skin	CutaneousMelanoma	nonTCGA	Study61
580	MEL-IPI_Pat60-Tumor-SM-4DK2L	Skin	CutaneousMelanoma	nonTCGA	Study61
581	MEL-IPI_Pat62-Tumor-SM-4DK2N	Skin	CutaneousMelanoma	nonTCGA	Study61
582	MEL-IPI_Pat63-Tumor-SM-4DK2O	Skin	CutaneousMelanoma	nonTCGA	Study61
583	MEL-IPI_Pat64-Tumor-SM-4DK2P	Skin	CutaneousMelanoma	nonTCGA	Study61
584	MEL-IPI_Pat66-Tumor-SM-4DK2R	Skin	CutaneousMelanoma	nonTCGA	Study61
585	MEL-IPI_Pat67-Tumor-SM-4DK2S	Skin	CutaneousMelanoma	nonTCGA	Study61
586	MEL-IPI_Pat70-Tumor-SM-4DK2V	Skin	CutaneousMelanoma	nonTCGA	Study61
587	MEL-IPI_Pat71-Tumor-SM-4DK2W	Skin	CutaneousMelanoma	nonTCGA	Study61
588	MEL-IPI_Pat73-Tumor-SM-4DK2Y	Skin	CutaneousMelanoma	nonTCGA	Study61
589	MEL-IPI_Pat74-Tumor-SM-4DK2Z	Skin	CutaneousMelanoma	nonTCGA	Study61
590	MEL-IPI_Pat76-Tumor-SM-4DK32	Skin	CutaneousMelanoma	nonTCGA	Study61
591	MEL-IPI_Pat78-Tumor-SM-4DK34	Skin	CutaneousMelanoma	nonTCGA	Study61
592	MEL-IPI_Pat79-Tumor-SM-53U2S	Skin	CutaneousMelanoma	nonTCGA	Study61
593	MEL-IPI_Pat80-Tumor-SM-4DK36	Skin	CutaneousMelanoma	nonTCGA	Study61
594	MEL-IPI_Pat83-Tumor-SM-53U2W	Skin	CutaneousMelanoma	nonTCGA	Study61
595	MEL-IPI_Pat85-Tumor-SM-53U2Y	Skin	CutaneousMelanoma	nonTCGA	Study61
596	MEL-IPI_Pat90-Tumor-SM-4DK3G	Skin	CutaneousMelanoma	nonTCGA	Study61
597	MEL-IPI_Pat92-Tumor-SM-4DK3I	Skin	CutaneousMelanoma	nonTCGA	Study61
